,Area,Mean,Min,Max,X,Y,Slice,Counter,Count
229,0,140,140,140,133,238,46,0,385
230,0,55,55,55,81,110,46,0,385
231,0,79,79,79,30,102,47,0,385
232,0,119,119,119,62,91,47,0,385
233,0,14,14,14,93,128,47,0,385
234,0,130,130,130,160,178,47,0,385
235,0,111,111,111,54,122,47,0,385
236,0,127,127,127,33,439,48,0,385
237,0,89,89,89,38,405,48,0,385
238,0,21,21,21,74,366,48,0,385
239,0,126,126,126,73,272,48,0,385
240,0,51,51,51,55,417,48,0,385
241,0,59,59,59,49.333,94,49,0,385
242,0,61,61,61,73.333,106.667,49,0,385
243,0,10,10,10,92.667,145.333,49,0,385
244,0,95,95,95,191.333,163.333,49,0,385
245,0,47,47,47,56,118,49,0,385
246,0,89,89,89,34,358,50,0,385
247,0,47,47,47,50.667,382.667,50,0,385
248,0,26,26,26,52.667,429.333,50,0,385
249,0,103,103,103,105.333,416.667,50,0,385
250,0,35,35,35,36,388,50,0,385
251,0,122,122,122,22.667,468,51,0,385
252,0,75,75,75,27.333,428.667,51,0,385
253,0,12,12,12,60,392,51,0,385
254,0,113,113,113,33.333,286.667,51,0,385
255,0,70,70,70,48.667,441.333,51,0,385
256,0,72,72,72,29.333,422.667,52,0,385
257,0,53,53,53,48,422.667,52,0,385
258,0,18,18,18,83.333,439.333,52,0,385
259,0,146,146,146,152,377.333,52,0,385
260,0,35,35,35,43.333,440.667,52,0,385
261,0,167,167,167,3,6,53,0,385
262,0,161,161,161,10,0,53,0,385
263,0,164,164,164,10,10,53,0,385
264,0,59,59,59,56,454,53,0,385
265,0,172,172,172,2,14,53,0,385
266,0,103,103,103,49,144,54,0,385
267,0,107,107,107,73.333,178.333,54,0,385
268,0,15,15,15,68,242.333,54,0,385
269,0,152,152,152,114,319,54,0,385
270,0,62,62,62,46.667,189,54,0,385
271,0,129,129,129,414,484.667,55,0,385
272,0,45,45,45,414,447.333,55,0,385
273,0,7,7,7,449.333,415.333,55,0,385
274,0,136,136,136,446.667,315.333,55,0,385
275,0,119,119,119,444.667,460,55,0,385
276,0,113,113,113,415.333,484,56,0,385
277,0,116,116,116,412,444.667,56,0,385
278,0,10,10,10,451.333,395.333,56,0,385
279,0,126,126,126,442,328,56,0,385
280,0,101,101,101,442.667,458.667,56,0,385
281,0,82,82,82,481.333,427.333,57,0,385
282,0,136,136,136,462.667,391.333,57,0,385
283,0,9,9,9,476.667,332.667,57,0,385
284,0,114,114,114,422.667,270.667,57,0,385
285,0,81,81,81,488.667,392,57,0,385
286,0,41,41,41,104.5,83.5,58,0,385
287,0,46,46,46,138.5,84,58,0,385
288,0,7,7,7,176.667,106,58,0,385
289,0,94,94,94,277.333,102,58,0,385
290,0,75,75,75,130.667,106,58,0,385
291,0,111,111,111,480.667,151.333,59,0,385
292,0,74,74,74,479.333,185.333,59,0,385
293,0,5,5,5,444,194.667,59,0,385
294,0,116,116,116,360.667,116,59,0,385
295,0,101,101,101,452,153.333,59,0,385
296,0,24,24,24,190.667,82,60,0,385
297,0,80,80,80,196,114.667,60,0,385
298,0,8,8,8,166.667,164.667,60,0,385
299,0,104,104,104,150.667,239.333,60,0,385
300,0,82,82,82,168.667,109.333,60,0,385
301,0,125,125,125,5,6,61,0,385
302,0,126,126,126,12,3,61,0,385
303,0,126,126,126,11,9,61,0,385
304,0,124,124,124,425,203,61,0,385
305,0,122,122,122,1,14,61,0,385
306,0,29,29,29,77.333,59.333,62,0,385
307,0,69,69,69,120.667,73.333,62,0,385
308,0,11,11,11,92,141.333,62,0,385
309,0,91,91,91,71.333,240,62,0,385
310,0,58,58,58,69.333,102,62,0,385
311,0,21,21,21,484,255.333,63,0,385
312,0,76,76,76,478,277.333,63,0,385
313,0,5,5,5,448,289.333,63,0,385
314,0,135,135,135,452,378.667,63,0,385
315,0,76,76,76,470.667,239.333,63,0,385
316,0,41,41,41,352,102,64,0,385
317,0,87,87,87,374.667,124.667,64,0,385
318,0,15,15,15,380.667,178.667,64,0,385
319,0,120,120,120,410.667,281.333,64,0,385
320,0,68,68,68,354.667,137.333,64,0,385
321,0,102,102,102,136,194,65,0,385
322,0,26,26,26,162,164,65,0,385
323,0,9,9,9,215.333,146.667,65,0,385
324,0,124,124,124,280.667,78,65,0,385
325,0,44,44,44,175.333,183.333,65,0,385
326,0,124,124,124,81,364,66,0,385
327,0,60,60,60,81,323,66,0,385
328,0,4,4,4,105,281,66,0,385
329,0,95,95,95,194,246,66,0,385
330,0,100,100,100,104,334,66,0,385
331,0,96,96,96,491.333,398.667,67,0,385
332,0,104,104,104,468.667,419.333,67,0,385
333,0,68,68,68,410.667,443.333,67,0,385
334,0,139,139,139,331.333,476,67,0,385
335,0,41,41,41,457.333,394.667,67,0,385
336,0,60,60,60,490.667,396,68,0,385
337,0,72,72,72,466.667,416,68,0,385
338,0,44,44,44,412.667,440.667,68,0,385
339,0,108,108,108,339.333,475.333,68,0,385
340,0,90,90,90,458,391.333,68,0,385
341,0,96,96,96,491.333,396.667,69,0,385
342,0,146,146,146,468.667,424,69,0,385
343,0,9,9,9,418.667,428.667,69,0,385
344,0,106,106,106,332,462.667,69,0,385
345,0,119,119,119,458,387.333,69,0,385
346,0,62,62,62,484,402,70,0,385
347,0,132,132,132,474,435.333,70,0,385
348,0,2,2,2,437.333,408,70,0,385
349,0,115,115,115,389.333,333.333,70,0,385
350,0,82,82,82,464,393.333,70,0,385
351,0,86,86,86,248.667,67.333,71,0,385
352,0,16,16,16,226.667,94,71,0,385
353,0,13,13,13,176.667,114.667,71,0,385
354,0,68,68,68,92,174.667,71,0,385
355,0,76,76,76,210,73.333,71,0,385
356,0,45,45,45,103.333,164,72,0,385
357,0,87,87,87,124,197.333,72,0,385
358,0,6,6,6,112,262,72,0,385
359,0,95,95,95,83,352,72,0,385
360,0,67,67,67,96,203,72,0,385
361,0,51,51,51,140,83,73,0,385
362,0,59,59,59,145,128,73,0,385
363,0,11,11,11,126,175,73,0,385
364,0,96,96,96,110,251,73,0,385
365,0,26,26,26,118,118,73,0,385
366,0,97,97,97,94,197,74,0,385
367,0,108,108,108,113,235,74,0,385
368,0,30,30,30,98,299,74,0,385
369,0,115,115,115,127,393,74,0,385
370,0,51,51,51,85,237,74,0,385
371,0,126,126,126,10,3,75,0,385
372,0,125,125,125,3,3,75,0,385
373,0,124,124,124,5,9,75,0,385
374,0,117,117,117,391,306,75,0,385
375,0,126,126,126,15,4,75,0,385
376,0,120,120,120,394.667,347.333,76,0,385
377,0,155,155,155,362,360,76,0,385
378,0,20,20,20,324,314,76,0,385
379,0,77,77,77,273.333,251.333,76,0,385
380,0,111,111,111,380,319.333,76,0,385
381,0,83,83,83,242,83,77,0,385
382,0,81,81,81,279.667,80.667,77,0,385
383,0,7,7,7,327.667,98.667,77,0,385
384,0,114,114,114,413,163,77,0,385
385,0,118,118,118,272,104,77,0,385
386,0,82,82,82,117,59,78,0,645
387,0,97,97,97,120,98,78,0,645
388,0,4,4,4,100.667,140,78,0,645
389,0,112,112,112,114,235.333,78,0,645
390,0,81,81,81,91.333,86.667,78,0,645
391,0,65,65,65,36.667,92.667,79,0,645
392,0,55,55,55,53.333,99.333,79,0,645
393,0,17,17,17,72,156,79,0,645
394,0,139,139,139,80,236,79,0,645
395,0,88,88,88,41.333,119.333,79,0,645
396,0,111,111,111,25.333,464.667,80,0,645
397,0,75,75,75,32,428,80,0,645
398,0,24,24,24,69.333,380,80,0,645
399,0,109,109,109,49.333,292,80,0,645
400,0,65,65,65,54.667,444,80,0,645
401,0,132,132,132,125.333,483.333,81,0,645
402,0,108,108,108,100,454,81,0,645
403,0,19,19,19,102.667,399.333,81,0,645
404,0,140,140,140,63.333,330.667,81,0,645
405,0,122,122,122,129.333,444,81,0,645
406,0,130,130,130,364,443.333,82,0,645
407,0,119,119,119,328.667,463.333,82,0,645
408,0,24,24,24,261.333,446,82,0,645
409,0,123,123,123,189.333,446,82,0,645
410,0,67,67,67,325.333,432,82,0,645
411,0,112,112,112,371.333,430,83,0,645
412,0,124,124,124,337.333,452,83,0,645
413,0,27,27,27,267.333,445.333,83,0,645
414,0,124,124,124,196,453.333,83,0,645
415,0,62,62,62,330,422,83,0,645
416,0,110,110,110,372.667,430,84,0,645
417,0,110,110,110,340,450.667,84,0,645
418,0,24,24,24,270,443.333,84,0,645
419,0,98,98,98,198,451.333,84,0,645
420,0,91,91,91,332,421.333,84,0,645
421,0,96,96,96,384.667,156.667,85,0,645
422,0,104,104,104,344,168,85,0,645
423,0,23,23,23,290,140.667,85,0,645
424,0,106,106,106,210.667,97.333,85,0,645
425,0,89,89,89,350,136,85,0,645
426,0,103,103,103,26.5,247.5,86,0,645
427,0,48,48,48,57,231,86,0,645
428,0,22,22,22,113,246.5,86,0,645
429,0,133,133,133,193,235.5,86,0,645
430,0,105,105,105,60,260,86,0,645
431,0,104,104,104,176,452.667,87,0,645
432,0,130,130,130,150,455.333,87,0,645
433,0,14,14,14,126.667,417.333,87,0,645
434,0,119,119,119,116.667,347.333,87,0,645
435,0,101,101,101,165.333,432.667,87,0,645
436,0,112,112,112,352,345.333,88,0,645
437,0,87,87,87,342,377.333,88,0,645
438,0,35,35,35,290.667,406,88,0,645
439,0,103,103,103,217.333,452.667,88,0,645
440,0,67,67,67,320.667,357.333,88,0,645
441,0,106,106,106,158,450.667,89,0,645
442,0,58,58,58,184,432,89,0,645
443,0,25,25,25,248,430,89,0,645
444,0,113,113,113,321.333,378.667,89,0,645
445,0,88,88,88,191.333,452,89,0,645
446,0,115,115,115,353.333,477.333,90,0,645
447,0,117,117,117,315.333,470,90,0,645
448,0,16,16,16,284,438,90,0,645
449,0,132,132,132,169.333,456,90,0,645
450,0,109,109,109,332,448,90,0,645
451,0,91,91,91,417.333,142,91,0,645
452,0,67,67,67,419.333,178.667,91,0,645
453,0,10,10,10,392,236,91,0,645
454,0,101,101,101,362.667,330,91,0,645
455,0,75,75,75,392.667,174,91,0,645
456,0,62,62,62,421,123,92,0,645
457,0,68,68,68,417,137,92,0,645
458,0,14,14,14,382,155,92,0,645
459,0,115,115,115,411,247,92,0,645
460,0,29,29,29,400,121,92,0,645
461,0,99,99,99,394,278,93,0,645
462,0,104,104,104,370,261,93,0,645
463,0,5,5,5,385,199,93,0,645
464,0,87,87,87,389,117,93,0,645
465,0,46,46,46,397,251,93,0,645
466,0,90,90,90,439,133,94,0,645
467,0,96,96,96,411,147,94,0,645
468,0,15,15,15,347,140,94,0,645
469,0,101,101,101,385,211,94,0,645
470,0,73,73,73,409,120,94,0,645
471,0,100,100,100,440,132.667,95,0,645
472,0,76,76,76,408.667,146,95,0,645
473,0,17,17,17,347.333,144.667,95,0,645
474,0,95,95,95,384.667,209.333,95,0,645
475,0,53,53,53,408,120,95,0,645
476,0,117,117,117,436,236.667,96,0,645
477,0,82,82,82,401.333,248,96,0,645
478,0,21,21,21,344.667,238.667,96,0,645
479,0,125,125,125,290.667,306,96,0,645
480,0,72,72,72,402,222,96,0,645
481,0,125,125,125,417.333,472,97,0,645
482,0,85,85,85,390,442,97,0,645
483,0,19,19,19,383.333,366,97,0,645
484,0,96,96,96,357.333,280,97,0,645
485,0,66,66,66,414,432,97,0,645
486,0,95,95,95,423.333,479.333,98,0,645
487,0,45,45,45,391.333,457.333,98,0,645
488,0,21,21,21,379.333,388.667,98,0,645
489,0,96,96,96,346.667,323.333,98,0,645
490,0,86,86,86,416,442.667,98,0,645
491,0,84,84,84,234.333,131.333,99,0,645
492,0,120,120,120,205.667,156.667,99,0,645
493,0,24,24,24,139.667,166.667,99,0,645
494,0,113,113,113,59,195.333,99,0,645
495,0,92,92,92,195.667,126.667,99,0,645
496,0,114,114,114,189,103.333,100,0,645
497,0,118,118,118,166.333,132,100,0,645
498,0,17,17,17,111,146,100,0,645
499,0,119,119,119,40,214,100,0,645
500,0,68,68,68,151.333,106.667,100,0,645
501,0,43,43,43,119.333,64,101,0,645
502,0,103,103,103,125.333,104,101,0,645
503,0,7,7,7,102.667,152,101,0,645
504,0,97,97,97,114.667,245.333,101,0,645
505,0,75,75,75,96,91.333,101,0,645
506,0,98,98,98,121.333,62.667,102,0,645
507,0,106,106,106,126,100,102,0,645
508,0,4,4,4,105.333,149.333,102,0,645
509,0,116,116,116,111.333,248,102,0,645
510,0,95,95,95,96.667,89.333,102,0,645
511,0,68,68,68,65.333,58.667,103,0,645
512,0,82,82,82,103.333,78.667,103,0,645
513,0,20,20,20,140.667,137.333,103,0,645
514,0,95,95,95,204.667,187.333,103,0,645
515,0,74,74,74,80,96,103,0,645
516,0,74,74,74,164.667,65.333,104,0,645
517,0,69,69,69,152.667,102,104,0,645
518,0,6,6,6,104,134,104,0,645
519,0,92,92,92,165.333,166,104,0,645
520,0,33,33,33,132.667,82,104,0,645
521,0,68,68,68,486.667,163.333,105,0,645
522,0,62,62,62,461.333,157.333,105,0,645
523,0,26,26,26,418,122,105,0,645
524,0,74,74,74,361.333,162.667,105,0,645
525,0,72,72,72,472,138,105,0,645
526,0,67,67,67,490.667,174.667,106,0,645
527,0,28,28,28,462.667,188,106,0,645
528,0,5,5,5,396,180,106,0,645
529,0,117,117,117,326,208,106,0,645
530,0,95,95,95,460.667,162.667,106,0,645
531,0,101,101,101,437.333,82.667,107,0,645
532,0,23,23,23,412,98,107,0,645
533,0,17,17,17,345.333,95.333,107,0,645
534,0,109,109,109,249.333,82.667,107,0,645
535,0,48,48,48,404.667,75.333,107,0,645
536,0,54,54,54,474,87.333,108,0,645
537,0,124,124,124,456.667,116,108,0,645
538,0,23,23,23,377.333,92,108,0,645
539,0,106,106,106,308.667,99.333,108,0,645
540,0,74,74,74,448,70,108,0,645
541,0,88,88,88,484.667,484.667,109,0,645
542,0,109,109,109,462,454.667,109,0,645
543,0,5,5,5,469.333,391.333,109,0,645
544,0,119,119,119,467.333,292,109,0,645
545,0,90,90,90,487.333,450.667,109,0,645
546,0,45,45,45,482.667,450,110,0,645
547,0,108,108,108,456.667,440,110,0,645
548,0,18,18,18,450,388.667,110,0,645
549,0,149,149,149,462.667,294.667,110,0,645
550,0,92,92,92,474,423.333,110,0,645
551,0,75,75,75,178,448.667,111,0,645
552,0,14,14,14,209.333,444,111,0,645
553,0,5,5,5,262,466.667,111,0,645
554,0,118,118,118,372.667,478.667,111,0,645
555,0,80,80,80,206.667,470.667,111,0,645
556,0,27,27,27,482.667,193,112,0,645
557,0,81,81,81,456,205.667,112,0,645
558,0,6,6,6,401.333,183,112,0,645
559,0,82,82,82,397.333,135,112,0,645
560,0,82,82,82,462,169.667,112,0,645
561,0,101,101,101,166,456.667,113,0,645
562,0,95,95,95,176,416.667,113,0,645
563,0,8,8,8,218,386,113,0,645
564,0,117,117,117,309.333,355.333,113,0,645
565,0,88,88,88,199.333,432.667,113,0,645
566,0,117,117,117,78.667,276.667,114,0,645
567,0,64,64,64,68,240,114,0,645
568,0,4,4,4,86,182,114,0,645
569,0,81,81,81,119,90,114,0,645
570,0,99,99,99,97,244,114,0,645
571,0,119,119,119,93,271,115,0,645
572,0,77,77,77,71,240,115,0,645
573,0,3,3,3,85,183,115,0,645
574,0,89,89,89,120,85,115,0,645
575,0,53,53,53,98,234,115,0,645
576,0,137,137,137,213,302,116,0,645
577,0,101,101,101,176,298,116,0,645
578,0,6,6,6,164,242.667,116,0,645
579,0,107,107,107,104,150,116,0,645
580,0,89,89,89,205.333,268.667,116,0,645
581,0,111,111,111,219.333,294,117,0,645
582,0,67,67,67,183.333,294.667,117,0,645
583,0,2,2,2,165.333,238.667,117,0,645
584,0,99,99,99,100,150.667,117,0,645
585,0,133,133,133,213.333,260,117,0,645
586,0,100,100,100,33.5,370.5,118,0,645
587,0,99,99,99,56.5,354.5,118,0,645
588,0,18,18,18,99.5,383,118,0,645
589,0,114,114,114,188,382.5,118,0,645
590,0,101,101,101,55,384,118,0,645
591,0,89,89,89,37,71,119,0,645
592,0,86,86,86,67,89,119,0,645
593,0,26,26,26,72,148.5,119,0,645
594,0,97,97,97,86.5,210,119,0,645
595,0,91,91,91,40,105.5,119,0,645
596,0,86,86,86,33.5,75.5,120,0,645
597,0,67,67,67,63,89,120,0,645
598,0,28,28,28,73.5,139.5,120,0,645
599,0,99,99,99,51,204.5,120,0,645
600,0,54,54,54,40,106.5,120,0,645
601,0,124,124,124,23,462.5,121,0,645
602,0,92,92,92,28,425.5,121,0,645
603,0,33,33,33,68.5,392,121,0,645
604,0,132,132,132,92,331.5,121,0,645
605,0,115,115,115,50,444,121,0,645
606,0,104,104,104,99.5,112,122,0,645
607,0,73,73,73,96.5,152,122,0,645
608,0,18,18,18,54,199,122,0,645
609,0,132,132,132,41.333,269.333,122,0,645
610,0,72,72,72,70.667,138.667,122,0,645
611,0,96,96,96,109.333,124,123,0,645
612,0,91,91,91,99.333,156.667,123,0,645
613,0,21,21,21,56.667,180.667,123,0,645
614,0,136,136,136,76,255.333,123,0,645
615,0,81,81,81,78.667,132.667,123,0,645
616,0,137,137,137,35.333,374,124,0,645
617,0,118,118,118,64.667,346,124,0,645
618,0,33,33,33,123.333,345.333,124,0,645
619,0,120,120,120,172,300,124,0,645
620,0,133,133,133,74.667,377.333,124,0,645
621,0,144,144,144,30.667,385.333,125,0,645
622,0,131,131,131,64,359.333,125,0,645
623,0,25,25,25,121.333,360.667,125,0,645
624,0,85,85,85,172.667,323.333,125,0,645
625,0,87,87,87,69.5,389.5,125,0,645
626,0,148,148,148,46.5,417.5,126,0,645
627,0,116,116,116,59.5,379.5,126,0,645
628,0,24,24,24,123,366.5,126,0,645
629,0,148,148,148,178.5,335.5,126,0,645
630,0,89,89,89,79,402,126,0,645
631,0,102,102,102,40,254.5,127,0,645
632,0,73,73,73,41,222,127,0,645
633,0,19,19,19,74,179,127,0,645
634,0,104,104,104,154,129.5,127,0,645
635,0,98,98,98,60,228.5,127,0,645
636,0,123,123,123,44,445.5,128,0,645
637,0,127,127,127,48.5,404.5,128,0,645
638,0,20,20,20,87.5,365,128,0,645
639,0,120,120,120,111,279,128,0,645
640,0,120,120,120,76,420,128,0,645
641,0,147,147,147,71.5,478,129,0,645
